,nsw.tr,nsw.co,cps,psid,ldw.tr,ldw.co
age,24.626262626262626,24.44705882352941,33.2252376188094,34.850602409638554,25.816216216216215,25.053846153846155
education,10.38047138047138,10.188235294117646,12.02751375687844,12.116867469879518,10.345945945945946,10.088461538461539
nodegree,0.7306397306397306,0.8141176470588235,0.2958354177088544,0.30522088353413657,0.7081081081081081,0.8346153846153846
married,0.16835016835016836,0.15764705882352942,0.7117308654327164,0.8662650602409638,0.1891891891891892,0.15384615384615385
black,0.8013468013468014,0.8,0.0735367683841921,0.25060240963855424,0.8432432432432433,0.8269230769230769
hispanic,0.09427609427609428,0.11294117647058824,0.0720360180090045,0.03253012048192771,0.05945945945945946,0.1076923076923077
re75,3.066098191206704,3.026682756132238,13.65080352240194,19.063337668140825,1.5320553130691117,1.2669090145404522
u75,0.37373737373737376,0.4188235294117647,0.10930465232616308,0.1,0.6,0.6846153846153846
re74,,,14.016800359931572,19.428745805362716,2.0955736933527764,2.107026651235727
u74,,,0.1196223111555778,0.08634538152610442,0.7081081081081081,0.75
