check,var,slope,se,n,base_slope,delta_pct,p,ci_lo,ci_hi,se_classic
1_drop_TJK,fte_per_laborforce,5697.111656684481,673.1183841261296,117,5693.206420090301,0.06859467769162367,,,,
1_drop_TJK,vdem_meritocratic_recruitment,5.1158541905528,0.9460509905739587,120,4.887009519731971,4.68271383341565,,,,
1_drop_TJK,staff_index,3.4749290077924333,1.2480015548230967,119,3.4749290077924333,0.0,,,,
1_drop_TJK,electronic_payments_pct_number,0.08699900276729337,0.019743664363735328,106,0.08643168290970826,0.6563795109459655,,,,
1_drop_TJK,vdem_executive,3.7318885666028883,0.6474693015330791,120,3.5839472466432007,4.127887766714547,,,,
1_drop_TJK,vdem_rigorous_impartial,4.278274633555363,0.5919354379124282,120,4.178403054005377,2.3901853952133725,,,,
2_drop_top3_fte,fte_per_laborforce,6267.647600603045,731.5927082471859,115,5693.206420090301,10.089941205814078,,,,
2_drop_top3_fte,vdem_meritocratic_recruitment,4.818478832359301,0.9366882571864955,118,4.887009519731971,-1.4023031282416747,,,,
2_drop_top3_fte,staff_index,3.3918428525365485,1.3365746828359661,116,3.4749290077924333,-2.391017343651234,,,,
2_drop_top3_fte,electronic_payments_pct_number,0.08383775320652262,0.01999455580605238,104,0.08643168290970826,-3.0011329362815005,,,,
2_drop_top3_fte,vdem_executive,3.5129576226299934,0.6462424423191261,118,3.5839472466432007,-1.980766432310008,,,,
2_drop_top3_fte,vdem_rigorous_impartial,4.12072961405939,0.6019074040052769,118,4.178403054005377,-1.3802746934789427,,,,
3_tax_inc_sc,fte_per_laborforce,10628.129503497066,847.2268852903685,117,5693.206420090301,86.68090912692554,,,,
3_tax_inc_sc,vdem_meritocratic_recruitment,8.099084628064114,1.4035939120628143,119,4.887009519731971,65.72680276891111,,,,
3_tax_inc_sc,staff_index,9.739738311348038,1.7534160799928153,117,3.4749290077924333,180.28596525301498,,,,
3_tax_inc_sc,electronic_payments_pct_number,0.15907236685825665,0.028008658317704695,106,0.08643168290970826,84.04404670036706,,,,
3_tax_inc_sc,vdem_executive,5.687370525388776,0.9687783098305517,119,3.5839472466432007,58.690129457560644,,,,
3_tax_inc_sc,vdem_rigorous_impartial,7.0734978917184055,0.8491268402102125,119,4.178403054005377,69.28711281066622,,,,
4_drop_high_income,fte_per_laborforce,6122.344081925424,1291.9551433362924,78,5693.206420090301,7.537714780914542,,,,
4_drop_high_income,vdem_meritocratic_recruitment,1.309011215973238,1.2921923473304902,81,4.887009519731971,-73.21447378631194,,,,
4_drop_high_income,staff_index,0.5982042093257686,1.4328519317417614,79,3.4749290077924333,-82.78513868961605,,,,
